 ,,,,,,,,,,,,,,,,,,,
,,,Maxima corriente de  Descarga,200A,,,,,,,,,,,,,,,
,,,Garantía de fábrica,"
5 años
",---,,,,,,,,,,,,,,
,,,Tipos de Bateria / Tipo de celdas,Batería LiFePO4,,,,,,,,,,,,,,,    
,Link de instagram,,Ciclos de Vida útil,8.000 ciclos a un 80% de DOD,,,,,,,,,,,,,,,
,,Capacidad:   10 KWh,Dimenciones (cm) ,50.0 x 25.0 x 91.5 ,,,,,,,,,,,,,,,
,,, peso (Kg),89,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,XINXIN ENERGY.pdf,Marca: Rarlon,Modelo ,XX-A3-48200,Precio (USD),,,,,,,,,,,,,,
,,,Voltaje (V) / Amperaje (A),51.2V  / 200Ah,,,,,,,,,,,,,,,
,,,Maxima corriente de  Descarga,200A,,,,,,,,,,,,,,,
,,,Garantía de fábrica,"
5 años
",----,,,,,,,,,,,,,,
,,,Tipos de Bateria / Tipo de celdas,Batería LiFePO4,,,,,,,,,,,,,,,
,Link de instagram,,Ciclos de Vida útil,8.000 ciclos a un 80% de DOD,,,,,,,,,,,,,,,
,,Capacidad:   10 KWh,Dimenciones (cm) ,50 x 25 x 91,,,,,,,,,,,,,,,
,,, peso (Kg),89,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,Marca: TRIFUSION POWER,Modelo ,AL-WM512200,Precio (USD),,,,,,,,,,,,,,
,,,Voltaje (V) / Amperaje (A),51.2V  / 200Ah,,,,,,,,,,,,,,,
,,,Maxima corriente de  Descarga,200A,,,,,,,,,,,,,,,
,,,Garantía de fábrica,"
5 años
","$1,049.00",,,,,,,,,,,,,,
,,,Tipos de Bateria / Tipo de celdas,Batería LiFePO4,,,,,,,,,,,,,,,
,Link de instagram,,Ciclos de Vida útil,6000,,,,,,,,,,,,,,,
,,Capacidad:   10 KWh,Dimenciones (cm) ,65.15 x 44.5 x 23.5 ,,,,,,,,,,,,,,,
,,, peso (Kg),87,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,Marca: AMIBA,Modelo ,HES10WT,Precio (USD),,,,,,,,,,,,,,
,,,Voltaje (V) / Amperaje (A),51.2V  / 200Ah,,,,,,,,,,,,,,,
,,,Maxima corriente de  Descarga,200A,,,,,,,,,,,,,,,
,,,Garantía de fábrica,"
10 años
","$1,080.00",,,,,,,,,,,,,,
,,,Tipos de Bateria / Tipo de celdas,Batería LiFePO4,,,,,,,,,,,,,,,
,Link de instagram,,Ciclos de Vida útil,"> 6.000 ciclos al 95% DoD (Profundidad de descarga) a 25°C.
",,,,,,,,,,,,,,,
,,Capacidad:   10 KWh,Dimenciones (cm) ,63.0 x 46.0 x 26.0,,,,,,,,,,,,,,,
,,, peso (Kg),86,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Modelos de 15 KWh,,,,,,,,,,,,,,,,,,,
,SunC ESS catalog 2026.pdf,Marca: SUNC SOLAR,Modelo ,SCAE-B-51.2-300,Precio (USD),,,,,,,,,,,,,,
,,,Voltaje (V) / Amperaje (A),51.2V  / 300Ah,,,,,,,,,,,,,,,
,,,Maxima corriente de  Descarga,200A,,,,,,,,,,,,,,,
,,,Garantía de fábrica,"
5 años
","$1,090.00",,,,,,,,,,,,,,
,,,Tipos de Bateria / Tipo de celdas,Batería LiFePO4,,,,,,,,,,,,,,,
,Link de instagram,,Ciclos de Vida útil,"8.000 ciclos a un 80% de DOD
",,,,,,,,,,,,,,,
,,Capacidad:   15 KWh,Dimenciones (cm) ,48.5 × 26 × 77,,,,,,,,,,,,,,,
,,, peso (Kg),111.65,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,XINXIN ENERGY.pdf,Marca: Rarlon,Modelo ,XX-A5-48300,Precio (USD),,,,,,,,,,,,,,
,,,Voltaje (V) / Amperaje (A),51.2V  / 300Ah,,,,,,,,,,,,,,,
,,,Maxima corriente de  Descarga,200A,,,,,,,,,,,,,,,
,,,Garantía de fábrica,"
5 años
",----,,,,,,,,,,,,,,
,,,Tipos de Bateria / Tipo de celdas,Batería LiFePO4,,,,,,,,,,,,,,,
,,,Ciclos de Vida útil,10.000 ciclos a un 80% de DOD,,,,,,,,,,,,,,,
,,Capacidad:   15 KWh,Dimenciones (cm) ,44 x 30 x 92.5,,,,,,,,,,,,,,,
,,, peso (Kg),124,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Trifusion Power.pdf,Marca: TRIFUSION POWER,Modelo ,AL-WM512300,Precio (USD),,,,,,,,,,,,,,
